CHROM	POS	HighSI	LowSI	DeltaSI	Gstat	ED4	LOD	BBLogBF	NumSNPs	MeanHighDP	MeanLowDP	HighSI_p99	HighSI_p95	HighSI_m_p99	HighSI_m_p95	LowSI_p99	LowSI_p95	LowSI_m_p99	LowSI_m_p95	DeltaSI_p99	DeltaSI_p95	DeltaSI_m_p99	DeltaSI_m_p95	Gstat_p99	Gstat_p95	ED4_p99	ED4_p95	LOD_p99	LOD_p95	BBLogBF_p99	BBLogBF_p95
Cp4.1LG04	273	0.480233	0.540537	-0.060303	2.757034	0.000929	0.606795	-0.293711	819	168	60	0.607143	0.559524	0.404762	0.434524	0.666667	0.600000	0.333333	0.383333	0.194048	0.116667	-0.191667	-0.123810	7.254696	3.892445	0.001678	0.000475	1.601043	0.853789	0.678088	-0.069055
Cp4.1LG04	100273	0.479164	0.538872	-0.059708	2.740115	0.000912	0.602874	-0.298279	921	169	60	0.603550	0.562130	0.402367	0.437870	0.650000	0.600000	0.333333	0.383333	0.191124	0.128797	-0.193294	-0.115877	8.304318	3.832719	0.002172	0.000467	1.833982	0.849426	0.910655	-0.073830
Cp4.1LG04	200273	0.478738	0.537593	-0.058855	2.722693	0.000896	0.598891	-0.302948	1048	172	61	0.593023	0.563953	0.389535	0.430233	0.655738	0.606557	0.311475	0.393443	0.193766	0.125048	-0.209111	-0.120854	8.586698	4.002576	0.002199	0.000498	1.886323	0.876541	0.959504	-0.050250
Cp4.1LG04	300273	0.479043	0.537277	-0.058234	2.725162	0.000891	0.599386	-0.303131	1100	171	61	0.596491	0.555556	0.397661	0.432749	0.655738	0.606557	0.344262	0.393443	0.187902	0.123478	-0.199598	-0.124724	7.583207	4.038848	0.001782	0.000512	1.670569	0.888587	0.744012	-0.037898
Cp4.1LG04	400273	0.479856	0.538529	-0.058673	2.779085	0.000906	0.611292	-0.292020	1304	171	61	0.596491	0.555556	0.397661	0.432749	0.655738	0.606557	0.344262	0.393443	0.187902	0.123478	-0.199598	-0.124724	7.583207	4.038848	0.001782	0.000512	1.670569	0.888587	0.744012	-0.037898
Cp4.1LG04	500273	0.480973	0.541935	-0.060962	2.935036	0.000961	0.645913	-0.258439	1531	174	61	0.591954	0.557471	0.396552	0.436782	0.655738	0.606557	0.327869	0.393443	0.205766	0.118900	-0.204258	-0.128038	9.518690	3.662902	0.002698	0.000415	2.104379	0.802479	1.176733	-0.124961
Cp4.1LG04	600273	0.482205	0.548100	-0.065895	3.232289	0.001073	0.711907	-0.193924	1588	174	61	0.591954	0.557471	0.396552	0.436782	0.655738	0.606557	0.327869	0.393443	0.205766	0.118900	-0.204258	-0.128038	9.518690	3.662902	0.002698	0.000415	2.104379	0.802479	1.176733	-0.124961
Cp4.1LG04	700273	0.483299	0.556253	-0.072953	3.626151	0.001226	0.799264	-0.108363	1607	173	61	0.595376	0.560694	0.398844	0.433526	0.655738	0.606557	0.344262	0.393443	0.183645	0.119113	-0.194257	-0.123851	7.261491	3.385133	0.001632	0.000356	1.594321	0.747784	0.667152	-0.179375
Cp4.1LG04	800273	0.484205	0.564818	-0.080614	4.035891	0.001388	0.890059	-0.019432	1669	176	62	0.596591	0.562500	0.403409	0.431818	0.645161	0.596774	0.322581	0.387097	0.196297	0.126100	-0.184934	-0.125183	7.524619	4.041188	0.001695	0.000491	1.652673	0.885724	0.721946	-0.044949
Cp4.1LG04	900273	0.485057	0.572629	-0.087572	4.401924	0.001532	0.971092	0.059585	1718	179	62	0.597765	0.558659	0.402235	0.435754	0.677419	0.612903	0.354839	0.387097	0.181474	0.118850	-0.191385	-0.123175	7.675555	3.845169	0.001747	0.000441	1.685517	0.842939	0.753844	-0.088679
Cp4.1LG04	1000273	0.486062	0.579017	-0.092955	4.686989	0.001642	1.034139	0.120491	1780	179	62	0.597765	0.558659	0.402235	0.435754	0.677419	0.612903	0.354839	0.387097	0.181474	0.118850	-0.191385	-0.123175	7.675555	3.845169	0.001747	0.000441	1.685517	0.842939	0.753844	-0.088679
Cp4.1LG04	1100273	0.487196	0.583849	-0.096653	4.881810	0.001718	1.077212	0.161521	1601	176	62	0.596591	0.562500	0.403409	0.431818	0.645161	0.596774	0.322581	0.387097	0.196297	0.126100	-0.184934	-0.125183	7.524619	4.041188	0.001695	0.000491	1.652673	0.885724	0.721946	-0.044949
Cp4.1LG04	1200273	0.488299	0.587530	-0.099231	5.004829	0.001767	1.104472	0.187184	1526	176	62	0.596591	0.562500	0.403409	0.431818	0.645161	0.596774	0.322581	0.387097	0.196297	0.126100	-0.184934	-0.125183	7.524619	4.041188	0.001695	0.000491	1.652673	0.885724	0.721946	-0.044949
Cp4.1LG04	1300273	0.489298	0.590649	-0.101351	5.093743	0.001807	1.124295	0.205934	1427	180	63	0.588889	0.561111	0.400000	0.433333	0.650794	0.603175	0.349206	0.396825	0.196032	0.111112	-0.192064	-0.108731	7.890240	3.260366	0.001731	0.000309	1.746069	0.714402	0.811414	-0.220070
Cp4.1LG04	1400273	0.490023	0.593569	-0.103546	5.180412	0.001849	1.143726	0.224708	1362	182	63	0.593407	0.560440	0.395604	0.439560	0.666667	0.603175	0.333333	0.396825	0.167888	0.111112	-0.206960	-0.125764	8.889325	3.727127	0.002256	0.000402	1.948203	0.819908	1.013061	-0.115205
Cp4.1LG04	1500273	0.490232	0.596117	-0.105884	5.266401	0.001896	1.163048	0.243641	1426	181	63	0.591160	0.558011	0.403315	0.436464	0.666667	0.603175	0.349206	0.396825	0.159783	0.111462	-0.192230	-0.117689	6.899171	3.496246	0.001365	0.000339	1.519877	0.762219	0.585006	-0.172552
Cp4.1LG04	1600273	0.489719	0.597502	-0.107783	5.321245	0.001938	1.175474	0.255966	1590	178	62	0.606742	0.561798	0.398876	0.432584	0.661290	0.612903	0.338710	0.403226	0.184487	0.113628	-0.200616	-0.120696	7.629705	3.665700	0.001716	0.000403	1.669913	0.805785	0.738583	-0.125532
Cp4.1LG04	1700273	0.488274	0.596418	-0.108144	5.302725	0.001962	1.171714	0.252586	1618	179	63	0.592179	0.558659	0.396648	0.435754	0.666667	0.603175	0.349206	0.396825	0.182407	0.121841	-0.187107	-0.120955	6.960296	3.851172	0.001404	0.000432	1.530434	0.849022	0.596208	-0.085178
Cp4.1LG04	1800273	0.485574	0.591775	-0.106201	5.178341	0.001949	1.144584	0.226200	1747	179	63	0.592179	0.558659	0.396648	0.435754	0.666667	0.603175	0.349206	0.396825	0.182407	0.121841	-0.187107	-0.120955	6.960296	3.851172	0.001404	0.000432	1.530434	0.849022	0.596208	-0.085178
Cp4.1LG04	1900273	0.481465	0.582912	-0.101447	4.924106	0.001879	1.088626	0.171133	1854	178	63	0.578652	0.556180	0.398876	0.438202	0.650794	0.603175	0.349206	0.396825	0.169610	0.121010	-0.183521	-0.114411	6.520557	3.499425	0.001235	0.000351	1.429293	0.761614	0.495417	-0.172253
Cp4.1LG04	2000273	0.476411	0.570553	-0.094142	4.560366	0.001745	1.008230	0.091527	2000	185	64	0.589189	0.562162	0.394595	0.437838	0.656250	0.609375	0.328125	0.390625	0.176351	0.119848	-0.196199	-0.124071	7.763957	3.944502	0.001652	0.000436	1.712704	0.868080	0.774069	-0.070462
Cp4.1LG04	2100273	0.471735	0.557959	-0.086224	4.205863	0.001596	0.929657	0.013272	2085	188	64	0.601064	0.558511	0.398936	0.436170	0.656250	0.593750	0.328125	0.390625	0.183511	0.119681	-0.199136	-0.120346	8.386440	3.803285	0.001936	0.000402	1.843061	0.838215	0.903563	-0.101276
Cp4.1LG04	2200273	0.468663	0.549045	-0.080382	4.007148	0.001508	0.885371	-0.031583	2089	186	64	0.591398	0.559140	0.397849	0.435484	0.656250	0.593750	0.359375	0.390625	0.183132	0.121136	-0.205141	-0.120128	7.733221	3.567183	0.001641	0.000355	1.691685	0.781937	0.752846	-0.156879
Cp4.1LG04	2300273	0.467088	0.544788	-0.077700	3.980727	0.001496	0.879106	-0.038971	2201	194	65	0.592784	0.556701	0.407216	0.443299	0.661538	0.600000	0.323077	0.400000	0.192387	0.120856	-0.192625	-0.120540	7.651569	3.856317	0.001523	0.000396	1.689014	0.847618	0.745277	-0.095997
Cp4.1LG04	2400273	0.466191	0.543775	-0.077584	4.050119	0.001520	0.893868	-0.025664	2135	195	65	0.594872	0.553846	0.400000	0.435897	0.661538	0.600000	0.353846	0.400000	0.184616	0.117949	-0.194872	-0.123077	8.192005	3.744283	0.001771	0.000368	1.800884	0.829103	0.856918	-0.114856
Cp4.1LG04	2500273	0.465320	0.543739	-0.078419	4.122854	0.001540	0.909293	-0.011732	2065	198	66	0.595960	0.560606	0.404040	0.439394	0.636364	0.590909	0.348485	0.393939	0.181819	0.116162	-0.166667	-0.116162	6.541092	3.655913	0.001093	0.000346	1.435443	0.802248	0.488207	-0.144927
Cp4.1LG04	2600273	0.464387	0.543508	-0.079121	4.159305	0.001541	0.916721	-0.005731	2175	196	65	0.586735	0.561224	0.408163	0.438776	0.646154	0.600000	0.323077	0.384615	0.186970	0.120016	-0.186970	-0.120251	8.383939	4.129329	0.001849	0.000451	1.842742	0.905204	0.898500	-0.038957
Cp4.1LG04	2700273	0.463517	0.543002	-0.079485	4.154520	0.001521	0.915079	-0.008625	2309	199	66	0.587940	0.552764	0.402010	0.442211	0.636364	0.590909	0.333333	0.393939	0.184255	0.118547	-0.173748	-0.113599	7.094551	3.788178	0.001281	0.000369	1.562228	0.829983	0.614699	-0.117456
Cp4.1LG04	2800273	0.462711	0.542458	-0.079747	4.132176	0.001489	0.909567	-0.015119	2464	196	65	0.586735	0.561224	0.408163	0.438776	0.646154	0.600000	0.323077	0.384615	0.186970	0.120016	-0.186970	-0.120251	8.383939	4.129329	0.001849	0.000451	1.842742	0.905204	0.898500	-0.038957
Cp4.1LG04	2900273	0.461909	0.542108	-0.080199	4.123192	0.001459	0.906976	-0.018552	2633	194	65	0.592784	0.556701	0.407216	0.443299	0.661538	0.600000	0.323077	0.400000	0.192387	0.120856	-0.192625	-0.120540	7.651569	3.856317	0.001523	0.000396	1.689014	0.847618	0.745277	-0.095997
Cp4.1LG04	3000273	0.461130	0.542224	-0.081094	4.142868	0.001441	0.910780	-0.015406	2813	194	65	0.592784	0.556701	0.407216	0.443299	0.661538	0.600000	0.323077	0.400000	0.192387	0.120856	-0.192625	-0.120540	7.651569	3.856317	0.001523	0.000396	1.689014	0.847618	0.745277	-0.095997
Cp4.1LG04	3100273	0.460390	0.542901	-0.082511	4.189708	0.001439	0.920690	-0.006015	3003	196	65	0.586735	0.561224	0.408163	0.438776	0.646154	0.600000	0.323077	0.384615	0.186970	0.120016	-0.186970	-0.120251	8.383939	4.129329	0.001849	0.000451	1.842742	0.905204	0.898500	-0.038957
Cp4.1LG04	3200273	0.459712	0.543924	-0.084212	4.242789	0.001442	0.932058	0.005032	3095	195	65	0.594872	0.553846	0.400000	0.435897	0.661538	0.600000	0.353846	0.400000	0.184616	0.117949	-0.194872	-0.123077	8.192005	3.744283	0.001771	0.000368	1.800884	0.829103	0.856918	-0.114856
Cp4.1LG04	3300273	0.458856	0.545072	-0.086216	4.294884	0.001451	0.943269	0.016219	3297	194	64	0.587629	0.556701	0.412371	0.443299	0.640625	0.593750	0.343750	0.390625	0.172197	0.119845	-0.197004	-0.114691	7.457774	3.769806	0.001506	0.000386	1.634056	0.824363	0.692913	-0.116757
Cp4.1LG04	3400273	0.457449	0.546008	-0.088559	4.342384	0.001468	0.953550	0.027003	3422	192	64	0.583333	0.557292	0.406250	0.437500	0.671875	0.609375	0.343750	0.390625	0.171875	0.114583	-0.192708	-0.119792	7.501576	3.793528	0.001534	0.000391	1.649304	0.839226	0.708683	-0.101388
