CHROM	POS	HighSI	LowSI	DeltaSI	Gstat	ED	LOD	BBLogBF	NumSNPs	MeanHighDP	MeanLowDP	HighSI_p99	HighSI_p95	HighSI_m_p99	HighSI_m_p95	LowSI_p99	LowSI_p95	LowSI_m_p99	LowSI_m_p95	DeltaSI_p99	DeltaSI_p95	DeltaSI_m_p99	DeltaSI_m_p95	Gstat_p99	Gstat_p95	ED_p99	ED_p95	LOD_p99	LOD_p95	BBLogBF_p99	BBLogBF_p95
Cp4.1LG07	125970	0.513571	0.626126	-0.112555	3.974119	0.132448	0.879547	-0.013494	754	153	58	0.594771	0.562092	0.405229	0.437908	0.672414	0.603448	0.327586	0.396552	0.176246	0.119788	-0.208362	-0.130494	7.321855	3.551805	0.208362	0.145932	1.617248	0.782154	0.705033	-0.129951
Cp4.1LG07	225970	0.512522	0.624528	-0.112006	3.948820	0.132191	0.873841	-0.019039	764	157	63	0.605096	0.560510	0.388535	0.433121	0.666667	0.603175	0.333333	0.396825	0.195532	0.116066	-0.227278	-0.128602	9.274400	4.088046	0.227278	0.150743	2.036268	0.900955	1.109773	-0.025525
Cp4.1LG07	325970	0.511484	0.622976	-0.111492	3.930612	0.131965	0.869670	-0.023892	787	157	63	0.605096	0.560510	0.388535	0.433121	0.666667	0.603175	0.333333	0.396825	0.195532	0.116066	-0.227278	-0.128602	9.274400	4.088046	0.227278	0.150743	2.036268	0.900955	1.109773	-0.025525
Cp4.1LG07	425970	0.510853	0.621849	-0.110996	3.918507	0.131736	0.866828	-0.028229	814	158	63	0.588608	0.556962	0.392405	0.424051	0.682540	0.603175	0.333333	0.396825	0.172996	0.115632	-0.204742	-0.125277	7.679243	3.722389	0.204742	0.144264	1.699449	0.817310	0.772456	-0.109514
Cp4.1LG07	525970	0.510801	0.621135	-0.110333	3.903522	0.131371	0.863348	-0.033556	826	158	63	0.588608	0.556962	0.392405	0.424051	0.682540	0.603175	0.333333	0.396825	0.172996	0.115632	-0.204742	-0.125277	7.679243	3.722389	0.204742	0.144264	1.699449	0.817310	0.772456	-0.109514
Cp4.1LG07	625970	0.511188	0.620576	-0.109388	3.879377	0.130794	0.857839	-0.040920	834	158	63	0.588608	0.556962	0.392405	0.424051	0.682540	0.603175	0.333333	0.396825	0.172996	0.115632	-0.204742	-0.125277	7.679243	3.722389	0.204742	0.144264	1.699449	0.817310	0.772456	-0.109514
Cp4.1LG07	725970	0.511908	0.619880	-0.107972	3.840819	0.129918	0.849129	-0.051454	872	159	63	0.597484	0.566038	0.389937	0.440252	0.682540	0.603175	0.333333	0.396825	0.169812	0.118599	-0.201258	-0.131477	7.330197	3.944703	0.201258	0.147649	1.617046	0.873451	0.689731	-0.053831
Cp4.1LG07	825970	0.513213	0.618646	-0.105433	3.770630	0.128361	0.833399	-0.069215	879	159	63	0.597484	0.566038	0.389937	0.440252	0.682540	0.603175	0.333333	0.396825	0.169812	0.118599	-0.201258	-0.131477	7.330197	3.944703	0.201258	0.147649	1.617046	0.873451	0.689731	-0.053831
Cp4.1LG07	925970	0.515332	0.616525	-0.101193	3.652777	0.125726	0.807095	-0.098190	880	159	63	0.597484	0.566038	0.389937	0.440252	0.682540	0.603175	0.333333	0.396825	0.169812	0.118599	-0.201258	-0.131477	7.330197	3.944703	0.201258	0.147649	1.617046	0.873451	0.689731	-0.053831
Cp4.1LG07	1025970	0.518393	0.613410	-0.095017	3.480992	0.121807	0.768845	-0.140186	959	159	62	0.597484	0.559748	0.389937	0.427673	0.661290	0.612903	0.338710	0.403226	0.202171	0.125076	-0.216677	-0.128626	8.874721	4.190167	0.221850	0.153784	1.960471	0.922501	1.035564	-0.002266
