CHROM	START	STOP	PEAK
Cp4.1LG05	92633	92947	5.83621
Cp4.1LG05	94263	94470	3.02907
Cp4.1LG05	95609	96445	5.37797
Cp4.1LG05	97294	98739	5.49198
Cp4.1LG05	102320	102751	3.57850
Cp4.1LG05	103499	103857	4.45881
Cp4.1LG05	105540	105818	7.81111
Cp4.1LG05	105540	105818	6.17854
Cp4.1LG05	108567	109146	3.52369
Cp4.1LG05	119543	120244	5.33582
Cp4.1LG05	130411	130814	3.32452
Cp4.1LG05	132322	133145	16.85495
Cp4.1LG05	213341	214041	3.38257
Cp4.1LG05	214330	214691	8.97372
Cp4.1LG05	270743	271465	3.07060
Cp4.1LG05	277234	277747	5.10868
Cp4.1LG05	432890	433381	7.22725
Cp4.1LG05	437827	441549	3.68742
Cp4.1LG05	445292	461090	3.76710
Cp4.1LG05	463217	463618	3.48810
Cp4.1LG05	474062	474758	3.00823
Cp4.1LG05	505261	506654	4.33896
Cp4.1LG05	510001	510712	4.50394
Cp4.1LG05	554829	555160	3.48282
Cp4.1LG05	555978	556367	3.34182
Cp4.1LG05	560139	560347	3.06813
Cp4.1LG05	560822	561957	3.00475
Cp4.1LG05	589864	590419	11.84506
Cp4.1LG05	610439	611748	3.03057
Cp4.1LG05	617156	617489	4.78792
Cp4.1LG05	622041	622481	3.60779
Cp4.1LG05	623765	623971	3.82385
Cp4.1LG05	640459	640648	4.38307
Cp4.1LG05	640459	640648	4.32811
Cp4.1LG05	644895	645835	4.20181
Cp4.1LG05	649716	650032	4.01509
Cp4.1LG05	651972	652267	3.82753
Cp4.1LG05	670652	671277	4.64736
Cp4.1LG05	671291	671708	5.27912
Cp4.1LG05	675158	675789	7.58818
Cp4.1LG05	675158	675789	7.67271
Cp4.1LG05	683976	684295	3.20274
Cp4.1LG05	693487	693555	3.10702
Cp4.1LG05	693555	693641	5.14145
Cp4.1LG05	696709	697116	6.25052
Cp4.1LG05	702541	703804	3.65773
Cp4.1LG05	706888	707788	4.95626
Cp4.1LG05	718452	719052	3.10198
Cp4.1LG05	724880	725637	3.93055
Cp4.1LG05	727656	728175	3.34474
Cp4.1LG05	728525	728791	3.97819
Cp4.1LG05	733942	734472	3.77532
