CHROM	START	STOP	PEAK_POS	PEAK_DELTA_SI	BRM_THRESHOLD
Cp4.1LG00	16656954	17256954	17006954	0.235287	0.217514
Cp4.1LG01	7150527	13950527	9500527	0.391421	0.218479
Cp4.1LG01	14350527	16050527	14800527	0.360183	0.217400
Cp4.1LG04	4750273	7350273	5500273	-0.295997	0.215883
Cp4.1LG05	569	750569	569	0.249291	0.217316
Cp4.1LG08	6371052	9571052	8521052	-0.352968	0.218785
Cp4.1LG11	2951441	5851441	5201441	-0.255540	0.218061
Cp4.1LG13	6997996	7797996	7547996	-0.231470	0.217422
Cp4.1LG14	18809	2668809	1918809	0.302432	0.219130
Cp4.1LG16	4851394	8601394	8601394	0.271343	0.217480
Cp4.1LG18	7054832	8304832	8304832	0.266912	0.219124
