CHROM	START	STOP	PEAK	STAT	CI	SOURCE
Cp4.1LG00	21106954	22306954	0.643101	HighSI	99	Permutation
Cp4.1LG00	23506954	24306954	0.608277	HighSI	99	Permutation
Cp4.1LG00	32406954	33506954	0.586496	HighSI	99	Permutation
Cp4.1LG00	46606954	48806954	0.672089	HighSI	99	Permutation
Cp4.1LG00	16506954	17306954	0.196896	DeltaSI	99	Permutation
Cp4.1LG00	47706954	48906954	0.289349	DeltaSI	99	Permutation
Cp4.1LG00	6954	1606954	13.053062	Gstat	99	Permutation
Cp4.1LG00	2406954	3006954	8.931885	Gstat	99	Permutation
Cp4.1LG00	4406954	4506954	7.190475	Gstat	99	Permutation
Cp4.1LG00	6106954	10406954	16.269076	Gstat	99	Permutation
Cp4.1LG00	10906954	12106954	13.207522	Gstat	99	Permutation
Cp4.1LG00	14306954	18006954	42.376517	Gstat	99	Permutation
Cp4.1LG00	18806954	20606954	13.418028	Gstat	99	Permutation
Cp4.1LG00	21806954	26606954	41.199484	Gstat	99	Permutation
Cp4.1LG00	27306954	28806954	12.994434	Gstat	99	Permutation
Cp4.1LG00	29706954	33606954	15.388766	Gstat	99	Permutation
Cp4.1LG00	34706954	40906954	30.913494	Gstat	99	Permutation
Cp4.1LG00	41406954	42706954	13.817443	Gstat	99	Permutation
Cp4.1LG00	43206954	44906954	13.500463	Gstat	99	Permutation
Cp4.1LG00	47206954	49106954	90.783163	Gstat	99	Permutation
Cp4.1LG00	6954	4706954	0.007577	ED4	99	Permutation
Cp4.1LG00	5706954	49206954	0.208287	ED4	99	Permutation
Cp4.1LG00	6954	1606954	2.861651	LOD	99	Permutation
Cp4.1LG00	2406954	3006954	1.965814	LOD	99	Permutation
Cp4.1LG00	4406954	4506954	1.583291	LOD	99	Permutation
Cp4.1LG00	6106954	10406954	3.580075	LOD	99	Permutation
Cp4.1LG00	10906954	12106954	2.918301	LOD	99	Permutation
Cp4.1LG00	14306954	18006954	9.315289	LOD	99	Permutation
Cp4.1LG00	18806954	20606954	2.962185	LOD	99	Permutation
Cp4.1LG00	21806954	28806954	9.048983	LOD	99	Permutation
Cp4.1LG00	29706954	33606954	3.376051	LOD	99	Permutation
Cp4.1LG00	34706954	40906954	6.866646	LOD	99	Permutation
Cp4.1LG00	41406954	44906954	3.086125	LOD	99	Permutation
Cp4.1LG00	47206954	49106954	20.150841	LOD	99	Permutation
Cp4.1LG00	6954	1606954	1.940947	BBLogBF	99	Permutation
Cp4.1LG00	2406954	3006954	1.045478	BBLogBF	99	Permutation
Cp4.1LG00	4406954	4506954	0.644247	BBLogBF	99	Permutation
Cp4.1LG00	6106954	10406954	2.625341	BBLogBF	99	Permutation
Cp4.1LG00	10906954	12106954	1.967440	BBLogBF	99	Permutation
Cp4.1LG00	14306954	18006954	8.348942	BBLogBF	99	Permutation
Cp4.1LG00	18806954	20606954	1.923239	BBLogBF	99	Permutation
Cp4.1LG00	21806954	29006954	7.947611	BBLogBF	99	Permutation
Cp4.1LG00	29706954	33606954	2.319046	BBLogBF	99	Permutation
Cp4.1LG00	34706954	44906954	5.787964	BBLogBF	99	Permutation
Cp4.1LG00	47206954	49106954	19.113133	BBLogBF	99	Permutation
Cp4.1LG00	7606954	7806954	0.557208	HighSI	95	Permutation
Cp4.1LG00	11806954	12906954	0.574605	HighSI	95	Permutation
Cp4.1LG00	16306954	16606954	0.565840	HighSI	95	Permutation
Cp4.1LG00	20906954	22406954	0.643101	HighSI	95	Permutation
Cp4.1LG00	23206954	24406954	0.608277	HighSI	95	Permutation
Cp4.1LG00	32306954	34106954	0.586496	HighSI	95	Permutation
Cp4.1LG00	46506954	49006954	0.672089	HighSI	95	Permutation
Cp4.1LG00	21306954	22106954	0.601934	LowSI	95	Permutation
Cp4.1LG00	32406954	32406954	0.549831	LowSI	95	Permutation
Cp4.1LG00	33106954	33606954	0.592795	LowSI	95	Permutation
Cp4.1LG00	46606954	47206954	0.632698	LowSI	95	Permutation
Cp4.1LG00	11406954	11506954	0.110098	DeltaSI	95	Permutation
Cp4.1LG00	16306954	17406954	0.196896	DeltaSI	95	Permutation
Cp4.1LG00	47506954	49106954	0.289349	DeltaSI	95	Permutation
Cp4.1LG00	1106954	1206954	-0.118720	DeltaSI	95	Permutation
Cp4.1LG00	2806954	2806954	-0.129919	DeltaSI	95	Permutation
Cp4.1LG00	6954	4906954	13.053062	Gstat	95	Permutation
Cp4.1LG00	5706954	45706954	42.376517	Gstat	95	Permutation
Cp4.1LG00	47206954	49206954	90.783163	Gstat	95	Permutation
Cp4.1LG00	6954	49206954	0.208287	ED4	95	Permutation
Cp4.1LG00	6954	4906954	2.861651	LOD	95	Permutation
Cp4.1LG00	5706954	45706954	9.315289	LOD	95	Permutation
Cp4.1LG00	47206954	49206954	20.150841	LOD	95	Permutation
Cp4.1LG00	6954	4906954	1.940947	BBLogBF	95	Permutation
Cp4.1LG00	5706954	45706954	8.348942	BBLogBF	95	Permutation
Cp4.1LG00	47206954	49206954	19.113133	BBLogBF	95	Permutation
Cp4.1LG00	48306954	48706954	3.273518	DeltaSI_Z	z3	ZScore
Cp4.1LG00	306954	306954	3.000193	Gstat_Z	z3	ZScore
Cp4.1LG00	6706954	7306954	4.144474	Gstat_Z	z3	ZScore
Cp4.1LG00	11506954	11506954	3.055151	Gstat_Z	z3	ZScore
Cp4.1LG00	14506954	17606954	13.433687	Gstat_Z	z3	ZScore
Cp4.1LG00	20006954	20106954	3.130051	Gstat_Z	z3	ZScore
Cp4.1LG00	22406954	26206954	13.014890	Gstat_Z	z3	ZScore
Cp4.1LG00	30306954	30706954	3.831253	Gstat_Z	z3	ZScore
Cp4.1LG00	32306954	32306954	3.025049	Gstat_Z	z3	ZScore
Cp4.1LG00	34806954	36206954	9.355062	Gstat_Z	z3	ZScore
Cp4.1LG00	37606954	38306954	3.982227	Gstat_Z	z3	ZScore
Cp4.1LG00	39806954	40606954	3.492128	Gstat_Z	z3	ZScore
Cp4.1LG00	41806954	42306954	3.272166	Gstat_Z	z3	ZScore
Cp4.1LG00	44006954	44306954	3.159382	Gstat_Z	z3	ZScore
Cp4.1LG00	47306954	49106954	30.657115	Gstat_Z	z3	ZScore
Cp4.1LG00	6954	806954	4.374572	ED4_Z	z3	ZScore
Cp4.1LG00	6206954	7606954	6.749657	ED4_Z	z3	ZScore
Cp4.1LG00	10906954	12006954	7.993655	ED4_Z	z3	ZScore
Cp4.1LG00	14906954	15406954	3.247672	ED4_Z	z3	ZScore
Cp4.1LG00	16106954	17606954	20.832378	ED4_Z	z3	ZScore
Cp4.1LG00	23506954	24306954	3.523138	ED4_Z	z3	ZScore
Cp4.1LG00	31406954	32606954	12.562063	ED4_Z	z3	ZScore
Cp4.1LG00	34906954	36006954	5.577705	ED4_Z	z3	ZScore
Cp4.1LG00	39806954	40106954	3.164149	ED4_Z	z3	ZScore
Cp4.1LG00	41206954	42606954	15.746289	ED4_Z	z3	ZScore
Cp4.1LG00	43806954	44906954	6.238030	ED4_Z	z3	ZScore
Cp4.1LG00	47206954	49106954	156.237427	ED4_Z	z3	ZScore
Cp4.1LG00	6706954	7306954	4.154401	LOD_Z	z3	ZScore
Cp4.1LG00	11506954	11506954	3.081918	LOD_Z	z3	ZScore
Cp4.1LG00	14506954	17606954	13.449007	LOD_Z	z3	ZScore
Cp4.1LG00	20006954	20206954	3.153037	LOD_Z	z3	ZScore
Cp4.1LG00	22406954	26206954	13.017427	LOD_Z	z3	ZScore
Cp4.1LG00	27906954	28306954	3.065921	LOD_Z	z3	ZScore
Cp4.1LG00	30306954	30706954	3.823756	LOD_Z	z3	ZScore
Cp4.1LG00	32306954	32306954	3.107246	LOD_Z	z3	ZScore
Cp4.1LG00	34806954	36206954	9.480687	LOD_Z	z3	ZScore
Cp4.1LG00	37506954	38306954	4.005264	LOD_Z	z3	ZScore
Cp4.1LG00	39806954	40606954	3.546131	LOD_Z	z3	ZScore
Cp4.1LG00	41806954	42306954	3.353896	LOD_Z	z3	ZScore
Cp4.1LG00	43906954	44406954	3.302048	LOD_Z	z3	ZScore
Cp4.1LG00	47306954	49106954	31.009326	LOD_Z	z3	ZScore
Cp4.1LG00	206954	406954	3.096804	BBLogBF_Z	z3	ZScore
Cp4.1LG00	6706954	7406954	4.247840	BBLogBF_Z	z3	ZScore
Cp4.1LG00	11406954	11606954	3.141361	BBLogBF_Z	z3	ZScore
Cp4.1LG00	14506954	17606954	13.873976	BBLogBF_Z	z3	ZScore
Cp4.1LG00	20106954	20106954	3.067023	BBLogBF_Z	z3	ZScore
Cp4.1LG00	22406954	26206954	13.199003	BBLogBF_Z	z3	ZScore
Cp4.1LG00	30306954	30606954	3.732703	BBLogBF_Z	z3	ZScore
Cp4.1LG00	32306954	32306954	3.022856	BBLogBF_Z	z3	ZScore
Cp4.1LG00	34806954	36206954	9.566840	BBLogBF_Z	z3	ZScore
Cp4.1LG00	37606954	38206954	3.931405	BBLogBF_Z	z3	ZScore
Cp4.1LG00	39806954	40506954	3.537803	BBLogBF_Z	z3	ZScore
Cp4.1LG00	41806954	42306954	3.429946	BBLogBF_Z	z3	ZScore
Cp4.1LG00	43906954	44306954	3.310114	BBLogBF_Z	z3	ZScore
Cp4.1LG00	47306954	49106954	31.977535	BBLogBF_Z	z3	ZScore
Cp4.1LG00	6954	1606954	4.000000	Consensus	99	Consensus
Cp4.1LG00	2406954	3006954	4.000000	Consensus	99	Consensus
Cp4.1LG00	4406954	4506954	4.000000	Consensus	99	Consensus
Cp4.1LG00	6106954	10406954	4.000000	Consensus	99	Consensus
Cp4.1LG00	10906954	12106954	4.000000	Consensus	99	Consensus
Cp4.1LG00	14306954	18006954	5.000000	Consensus	99	Consensus
Cp4.1LG00	18806954	20606954	4.000000	Consensus	99	Consensus
Cp4.1LG00	21806954	28806954	5.000000	Consensus	99	Consensus
Cp4.1LG00	29706954	33606954	5.000000	Consensus	99	Consensus
Cp4.1LG00	34706954	40906954	4.000000	Consensus	99	Consensus
Cp4.1LG00	41406954	44906954	4.000000	Consensus	99	Consensus
Cp4.1LG00	47206954	49106954	6.000000	Consensus	99	Consensus
Cp4.1LG00	46606954	48806954	0.672089	HighSI	99	HighConfidence
Cp4.1LG00	47706954	48906954	0.289349	DeltaSI	99	HighConfidence
Cp4.1LG00	47206954	49106954	90.783163	Gstat	99	HighConfidence
Cp4.1LG00	5706954	49206954	0.208287	ED4	99	HighConfidence
Cp4.1LG00	47206954	49106954	20.150841	LOD	99	HighConfidence
Cp4.1LG00	47206954	49106954	19.113133	BBLogBF	99	HighConfidence
Cp4.1LG00	46506954	49006954	0.672089	HighSI	95	HighConfidence
Cp4.1LG00	47506954	49106954	0.289349	DeltaSI	95	HighConfidence
Cp4.1LG00	47206954	49206954	90.783163	Gstat	95	HighConfidence
Cp4.1LG00	6954	49206954	0.208287	ED4	95	HighConfidence
Cp4.1LG00	47206954	49206954	20.150841	LOD	95	HighConfidence
Cp4.1LG00	47206954	49206954	19.113133	BBLogBF	95	HighConfidence
Cp4.1LG00	48306954	48706954	3.273518	DeltaSI_Z	z3	HighConfidence
Cp4.1LG00	47306954	49106954	30.657115	Gstat_Z	z3	HighConfidence
Cp4.1LG00	47206954	49106954	156.237427	ED4_Z	z3	HighConfidence
Cp4.1LG00	47306954	49106954	31.009326	LOD_Z	z3	HighConfidence
Cp4.1LG00	47306954	49106954	31.977535	BBLogBF_Z	z3	HighConfidence
Cp4.1LG01	8300527	11700527	0.666213	HighSI	99	Permutation
Cp4.1LG01	12600527	15000527	0.624630	HighSI	99	Permutation
Cp4.1LG01	7200527	16300527	0.402610	DeltaSI	99	Permutation
Cp4.1LG01	7000527	16600527	39.820622	Gstat	99	Permutation
Cp4.1LG01	18100527	18300527	7.236159	Gstat	99	Permutation
Cp4.1LG01	21000527	21300527	8.552533	Gstat	99	Permutation
Cp4.1LG01	5600527	5600527	0.001664	ED4	99	Permutation
Cp4.1LG01	6700527	21300527	0.046534	ED4	99	Permutation
Cp4.1LG01	7000527	16600527	8.791544	LOD	99	Permutation
Cp4.1LG01	18100527	18300527	1.599141	LOD	99	Permutation
Cp4.1LG01	21000527	21300527	1.882526	LOD	99	Permutation
Cp4.1LG01	7000527	16600527	7.867137	BBLogBF	99	Permutation
Cp4.1LG01	18100527	18300527	0.571141	BBLogBF	99	Permutation
Cp4.1LG01	19000527	19000527	0.407097	BBLogBF	99	Permutation
Cp4.1LG01	21000527	21300527	0.979997	BBLogBF	99	Permutation
Cp4.1LG01	7700527	16000527	0.666213	HighSI	95	Permutation
Cp4.1LG01	20700527	21300527	0.615261	LowSI	95	Permutation
Cp4.1LG01	6900527	16700527	0.402610	DeltaSI	95	Permutation
Cp4.1LG01	18800527	21300527	-0.188598	DeltaSI	95	Permutation
Cp4.1LG01	5600527	5600527	3.766706	Gstat	95	Permutation
Cp4.1LG01	6700527	21300527	39.820622	Gstat	95	Permutation
Cp4.1LG01	527	21300527	0.046534	ED4	95	Permutation
Cp4.1LG01	5600527	5600527	0.826442	LOD	95	Permutation
Cp4.1LG01	6700527	21300527	8.791544	LOD	95	Permutation
Cp4.1LG01	5600527	5600527	-0.070795	BBLogBF	95	Permutation
Cp4.1LG01	6500527	21300527	7.867137	BBLogBF	95	Permutation
Cp4.1LG01	7500527	13700527	4.494315	DeltaSI_Z	z3	ZScore
Cp4.1LG01	14500527	15600527	4.089430	DeltaSI_Z	z3	ZScore
Cp4.1LG01	7300527	16100527	12.524281	Gstat_Z	z3	ZScore
Cp4.1LG01	7000527	16400527	33.851037	ED4_Z	z3	ZScore
Cp4.1LG01	7300527	16100527	12.600216	LOD_Z	z3	ZScore
Cp4.1LG01	7300527	16200527	13.063661	BBLogBF_Z	z3	ZScore
Cp4.1LG01	7000527	16600527	6.000000	Consensus	99	Consensus
Cp4.1LG01	18100527	18300527	4.000000	Consensus	99	Consensus
Cp4.1LG01	21000527	21300527	4.000000	Consensus	99	Consensus
Cp4.1LG01	8300527	11700527	0.666213	HighSI	99	HighConfidence
Cp4.1LG01	12600527	15000527	0.624630	HighSI	99	HighConfidence
Cp4.1LG01	7200527	16300527	0.402610	DeltaSI	99	HighConfidence
Cp4.1LG01	7000527	16600527	39.820622	Gstat	99	HighConfidence
Cp4.1LG01	6700527	21300527	0.046534	ED4	99	HighConfidence
Cp4.1LG01	7000527	16600527	8.791544	LOD	99	HighConfidence
Cp4.1LG01	7000527	16600527	7.867137	BBLogBF	99	HighConfidence
Cp4.1LG01	7700527	16000527	0.666213	HighSI	95	HighConfidence
Cp4.1LG01	6900527	16700527	0.402610	DeltaSI	95	HighConfidence
Cp4.1LG01	6700527	21300527	39.820622	Gstat	95	HighConfidence
Cp4.1LG01	527	21300527	0.046534	ED4	95	HighConfidence
Cp4.1LG01	6700527	21300527	8.791544	LOD	95	HighConfidence
Cp4.1LG01	6500527	21300527	7.867137	BBLogBF	95	HighConfidence
Cp4.1LG01	7500527	13700527	4.494315	DeltaSI_Z	z3	HighConfidence
Cp4.1LG01	14500527	15600527	4.089430	DeltaSI_Z	z3	HighConfidence
Cp4.1LG01	7300527	16100527	12.524281	Gstat_Z	z3	HighConfidence
Cp4.1LG01	7000527	16400527	33.851037	ED4_Z	z3	HighConfidence
Cp4.1LG01	7300527	16100527	12.600216	LOD_Z	z3	HighConfidence
Cp4.1LG01	7300527	16200527	13.063661	BBLogBF_Z	z3	HighConfidence
Cp4.1LG02	12270959	12570959	0.589416	HighSI	99	Permutation
Cp4.1LG02	4870959	6270959	-0.199966	DeltaSI	99	Permutation
Cp4.1LG02	4470959	7370959	10.168183	Gstat	99	Permutation
Cp4.1LG02	170959	770959	0.002224	ED4	99	Permutation
Cp4.1LG02	1370959	1370959	0.001403	ED4	99	Permutation
Cp4.1LG02	3870959	7470959	0.005293	ED4	99	Permutation
Cp4.1LG02	8170959	8170959	0.001312	ED4	99	Permutation
Cp4.1LG02	8970959	9970959	0.001909	ED4	99	Permutation
Cp4.1LG02	10770959	11770959	0.002462	ED4	99	Permutation
Cp4.1LG02	4570959	7370959	2.225891	LOD	99	Permutation
Cp4.1LG02	4470959	7370959	1.315625	BBLogBF	99	Permutation
Cp4.1LG02	11370959	13270959	0.589416	HighSI	95	Permutation
Cp4.1LG02	170959	170959	-0.122490	DeltaSI	95	Permutation
Cp4.1LG02	4370959	6770959	-0.199966	DeltaSI	95	Permutation
Cp4.1LG02	9370959	9370959	-0.117481	DeltaSI	95	Permutation
Cp4.1LG02	170959	1370959	4.861901	Gstat	95	Permutation
Cp4.1LG02	3870959	10070959	10.168183	Gstat	95	Permutation
Cp4.1LG02	170959	14370959	0.005293	ED4	95	Permutation
Cp4.1LG02	170959	1370959	1.071813	LOD	95	Permutation
Cp4.1LG02	3870959	10070959	2.225891	LOD	95	Permutation
