CHROM	POS	HighSI	LowSI	DeltaSI	Gstat	ED	LOD	BBLogBF	NumSNPs	MeanHighDP	MeanLowDP	HighSI_p99	HighSI_p95	HighSI_m_p99	HighSI_m_p95	LowSI_p99	LowSI_p95	LowSI_m_p99	LowSI_m_p95	DeltaSI_p99	DeltaSI_p95	DeltaSI_m_p99	DeltaSI_m_p95	Gstat_p99	Gstat_p95	ED_p99	ED_p95	LOD_p99	LOD_p95	BBLogBF_p99	BBLogBF_p95
Cp4.1LG10	29886	0.556044	0.407797	0.148248	6.193158	0.160754	1.361021	0.465487	555	144	58	0.597222	0.569444	0.395833	0.437500	0.672414	0.603448	0.327586	0.396552	0.186542	0.120929	-0.207615	-0.121168	7.119442	3.452030	0.207615	0.145115	1.561442	0.760437	0.652999	-0.147990
Cp4.1LG10	129886	0.555413	0.411039	0.144374	5.875106	0.156933	1.291088	0.395901	622	152	58	0.605263	0.565789	0.394737	0.434211	0.672414	0.603448	0.327586	0.396552	0.214383	0.115019	-0.193058	-0.129764	7.702613	3.932518	0.214383	0.152904	1.697247	0.866139	0.785452	-0.045543
Cp4.1LG10	229886	0.553037	0.412990	0.140047	5.592127	0.153271	1.228932	0.334599	865	158	58	0.594937	0.563291	0.392405	0.436709	0.655172	0.620690	0.327586	0.396552	0.201222	0.123526	-0.202968	-0.131602	7.985010	3.712268	0.216718	0.147752	1.762284	0.823610	0.848181	-0.090345
Cp4.1LG10	329886	0.549018	0.415122	0.133896	5.295176	0.149165	1.163704	0.270060	1084	158	58	0.594937	0.563291	0.392405	0.436709	0.655172	0.620690	0.327586	0.396552	0.201222	0.123526	-0.202968	-0.131602	7.985010	3.712268	0.216718	0.147752	1.762284	0.823610	0.848181	-0.090345
Cp4.1LG10	429886	0.544294	0.418000	0.126294	4.983763	0.144638	1.095277	0.201825	1259	154	58	0.610390	0.577922	0.409091	0.435065	0.655172	0.603448	0.344828	0.396552	0.207344	0.129422	-0.194133	-0.129198	7.358699	3.733972	0.209360	0.148678	1.618909	0.820964	0.706366	-0.091495
Cp4.1LG10	529886	0.539789	0.421144	0.118645	4.697962	0.140390	1.032539	0.139060	1467	155	58	0.600000	0.567742	0.406452	0.438710	0.655172	0.603448	0.327586	0.396552	0.186318	0.126029	-0.196996	-0.126029	7.315297	3.646129	0.207898	0.147497	1.615810	0.800685	0.702827	-0.112173
Cp4.1LG10	629886	0.536216	0.424014	0.112201	4.472688	0.137018	0.983304	0.089886	1808	152	58	0.605263	0.565789	0.394737	0.434211	0.672414	0.603448	0.327586	0.396552	0.214383	0.115019	-0.193058	-0.129764	7.702613	3.932518	0.214383	0.152904	1.697247	0.866139	0.785452	-0.045543
Cp4.1LG10	729886	0.533302	0.426279	0.107024	4.301318	0.134380	0.946011	0.052694	2026	154	58	0.610390	0.577922	0.409091	0.435065	0.655172	0.603448	0.344828	0.396552	0.207344	0.129422	-0.194133	-0.129198	7.358699	3.733972	0.209360	0.148678	1.618909	0.820964	0.706366	-0.091495
Cp4.1LG10	829886	0.530637	0.427959	0.102678	4.161299	0.132073	0.915554	0.022251	2261	153	58	0.614379	0.575163	0.392157	0.431373	0.655172	0.603448	0.327586	0.396552	0.178611	0.122155	-0.182218	-0.133423	6.341274	3.481493	0.194050	0.144129	1.388564	0.775534	0.476461	-0.136675
Cp4.1LG10	929886	0.528036	0.429157	0.098879	4.038003	0.129921	0.888672	-0.004635	2493	150	58	0.613333	0.573333	0.413333	0.440000	0.672414	0.603448	0.344828	0.379310	0.214023	0.140690	-0.208505	-0.121839	9.399970	4.042552	0.236322	0.155633	2.075542	0.894621	1.164467	-0.016371
Cp4.1LG10	1029886	0.525317	0.430187	0.095130	3.923211	0.127859	0.863581	-0.029676	2749	149	58	0.604027	0.570470	0.389262	0.429530	0.672414	0.620690	0.344828	0.396552	0.202615	0.126013	-0.179588	-0.133649	6.960892	3.889965	0.204583	0.152859	1.529289	0.852043	0.618741	-0.058451
Cp4.1LG10	1129886	0.522482	0.431281	0.091201	3.814229	0.125860	0.839762	-0.053470	2977	150	58	0.613333	0.573333	0.413333	0.440000	0.672414	0.603448	0.344828	0.379310	0.214023	0.140690	-0.208505	-0.121839	9.399970	4.042552	0.236322	0.155633	2.075542	0.894621	1.164467	-0.016371
Cp4.1LG10	1229886	0.519695	0.432461	0.087234	3.714653	0.123966	0.818050	-0.075289	3207	149	58	0.604027	0.570470	0.389262	0.429530	0.672414	0.620690	0.344828	0.396552	0.202615	0.126013	-0.179588	-0.133649	6.960892	3.889965	0.204583	0.152859	1.529289	0.852043	0.618741	-0.058451
Cp4.1LG10	1329886	0.517104	0.433583	0.083520	3.629200	0.122294	0.799466	-0.094047	3479	151	58	0.602649	0.569536	0.397351	0.437086	0.672414	0.620690	0.327586	0.396552	0.192852	0.131880	-0.203471	-0.133249	7.198275	3.873413	0.206211	0.151861	1.593581	0.857785	0.682113	-0.053536
Cp4.1LG10	1429886	0.514950	0.434512	0.080438	3.563086	0.120974	0.785116	-0.108619	3674	149	58	0.604027	0.570470	0.389262	0.429530	0.672414	0.620690	0.344828	0.396552	0.202615	0.126013	-0.179588	-0.133649	6.960892	3.889965	0.204583	0.152859	1.529289	0.852043	0.618741	-0.058451
Cp4.1LG10	1529886	0.513483	0.435250	0.078232	3.519176	0.120081	0.775589	-0.118435	3922	150	58	0.613333	0.573333	0.413333	0.440000	0.672414	0.603448	0.344828	0.379310	0.214023	0.140690	-0.208505	-0.121839	9.399970	4.042552	0.236322	0.155633	2.075542	0.894621	1.164467	-0.016371
Cp4.1LG10	1629886	0.512656	0.435899	0.076757	3.492463	0.119513	0.769782	-0.124557	4116	150	58	0.613333	0.573333	0.413333	0.440000	0.672414	0.603448	0.344828	0.379310	0.214023	0.140690	-0.208505	-0.121839	9.399970	4.042552	0.236322	0.155633	2.075542	0.894621	1.164467	-0.016371
Cp4.1LG10	1729886	0.512276	0.436485	0.075791	3.479249	0.119152	0.766887	-0.127712	4246	152	58	0.605263	0.565789	0.394737	0.434211	0.672414	0.603448	0.327586	0.396552	0.214383	0.115019	-0.193058	-0.129764	7.702613	3.932518	0.214383	0.152904	1.697247	0.866139	0.785452	-0.045543
Cp4.1LG10	1829886	0.512207	0.436937	0.075270	3.479695	0.118972	0.766946	-0.127840	4383	152	58	0.605263	0.565789	0.394737	0.434211	0.672414	0.603448	0.327586	0.396552	0.214383	0.115019	-0.193058	-0.129764	7.702613	3.932518	0.214383	0.152904	1.697247	0.866139	0.785452	-0.045543
Cp4.1LG10	1929886	0.512427	0.437187	0.075240	3.493825	0.118983	0.769977	-0.124960	4619	153	58	0.614379	0.575163	0.392157	0.431373	0.655172	0.603448	0.327586	0.396552	0.178611	0.122155	-0.182218	-0.133423	6.341274	3.481493	0.194050	0.144129	1.388564	0.775534	0.476461	-0.136675
Cp4.1LG10	2029886	0.513039	0.437384	0.075655	3.517646	0.119148	0.775113	-0.119992	4729	153	58	0.614379	0.575163	0.392157	0.431373	0.655172	0.603448	0.327586	0.396552	0.178611	0.122155	-0.182218	-0.133423	6.341274	3.481493	0.194050	0.144129	1.388564	0.775534	0.476461	-0.136675
Cp4.1LG10	2129886	0.514051	0.437663	0.076388	3.543136	0.119374	0.780594	-0.114712	4940	153	58	0.614379	0.575163	0.392157	0.431373	0.655172	0.603448	0.327586	0.396552	0.178611	0.122155	-0.182218	-0.133423	6.341274	3.481493	0.194050	0.144129	1.388564	0.775534	0.476461	-0.136675
Cp4.1LG10	2229886	0.515343	0.438055	0.077288	3.560262	0.119519	0.784231	-0.111290	4969	152	58	0.605263	0.565789	0.394737	0.434211	0.672414	0.603448	0.327586	0.396552	0.214383	0.115019	-0.193058	-0.129764	7.702613	3.932518	0.214383	0.152904	1.697247	0.866139	0.785452	-0.045543
Cp4.1LG10	2329886	0.516766	0.438524	0.078242	3.568030	0.119557	0.785822	-0.109931	5056	153	58	0.614379	0.575163	0.392157	0.431373	0.655172	0.603448	0.327586	0.396552	0.178611	0.122155	-0.182218	-0.133423	6.341274	3.481493	0.194050	0.144129	1.388564	0.775534	0.476461	-0.136675
Cp4.1LG10	2429886	0.518243	0.438946	0.079297	3.575461	0.119620	0.787343	-0.108685	5213	153	58	0.614379	0.575163	0.392157	0.431373	0.655172	0.603448	0.327586	0.396552	0.178611	0.122155	-0.182218	-0.133423	6.341274	3.481493	0.194050	0.144129	1.388564	0.775534	0.476461	-0.136675
